date,sunrise,sunset,solar_noon,sunrise(minutes),sunset(minutes),solar_noon(minutes)
2023-01-01,1900-01-01 07:11:25,1900-01-01 16:34:40,1900-01-01 11:53:02,431.0,994.0,713.0
2023-01-02,1900-01-01 07:11:32,1900-01-01 16:35:28,1900-01-01 11:53:30,431.0,995.0,713.0
2023-01-03,1900-01-01 07:11:37,1900-01-01 16:36:18,1900-01-01 11:53:57,431.0,996.0,713.0
2023-01-04,1900-01-01 07:11:39,1900-01-01 16:37:09,1900-01-01 11:54:24,431.0,997.0,714.0
2023-01-05,1900-01-01 07:11:40,1900-01-01 16:38:02,1900-01-01 11:54:51,431.0,998.0,714.0
2023-01-06,1900-01-01 07:11:38,1900-01-01 16:38:56,1900-01-01 11:55:17,431.0,998.0,715.0
2023-01-07,1900-01-01 07:11:34,1900-01-01 16:39:52,1900-01-01 11:55:43,431.0,999.0,715.0
2023-01-08,1900-01-01 07:11:28,1900-01-01 16:40:49,1900-01-01 11:56:09,431.0,1000.0,716.0
2023-01-09,1900-01-01 07:11:20,1900-01-01 16:41:47,1900-01-01 11:56:34,431.0,1001.0,716.0
2023-01-10,1900-01-01 07:11:10,1900-01-01 16:42:46,1900-01-01 11:56:58,431.0,1002.0,716.0
2023-01-11,1900-01-01 07:10:58,1900-01-01 16:43:47,1900-01-01 11:57:22,430.0,1003.0,717.0
2023-01-12,1900-01-01 07:10:43,1900-01-01 16:44:48,1900-01-01 11:57:46,430.0,1004.0,717.0
2023-01-13,1900-01-01 07:10:26,1900-01-01 16:45:51,1900-01-01 11:58:09,430.0,1005.0,718.0
2023-01-14,1900-01-01 07:10:08,1900-01-01 16:46:55,1900-01-01 11:58:31,430.0,1006.0,718.0
2023-01-15,1900-01-01 07:09:47,1900-01-01 16:48:00,1900-01-01 11:58:53,429.0,1008.0,718.0
2023-01-16,1900-01-01 07:09:24,1900-01-01 16:49:05,1900-01-01 11:59:14,429.0,1009.0,719.0
2023-01-17,1900-01-01 07:08:59,1900-01-01 16:50:11,1900-01-01 11:59:35,428.0,1010.0,719.0
2023-01-18,1900-01-01 07:08:32,1900-01-01 16:51:19,1900-01-01 11:59:55,428.0,1011.0,719.0
2023-01-19,1900-01-01 07:08:03,1900-01-01 16:52:26,1900-01-01 12:00:14,428.0,1012.0,720.0
2023-01-20,1900-01-01 07:07:31,1900-01-01 16:53:35,1900-01-01 12:00:33,427.0,1013.0,720.0
2023-01-21,1900-01-01 07:06:58,1900-01-01 16:54:44,1900-01-01 12:00:51,426.0,1014.0,720.0
2023-01-22,1900-01-01 07:06:23,1900-01-01 16:55:54,1900-01-01 12:01:08,426.0,1015.0,721.0
2023-01-23,1900-01-01 07:05:46,1900-01-01 16:57:04,1900-01-01 12:01:25,425.0,1017.0,721.0
2023-01-24,1900-01-01 07:05:07,1900-01-01 16:58:15,1900-01-01 12:01:41,425.0,1018.0,721.0
2023-01-25,1900-01-01 07:04:26,1900-01-01 16:59:26,1900-01-01 12:01:56,424.0,1019.0,721.0
2023-01-26,1900-01-01 07:03:44,1900-01-01 17:00:37,1900-01-01 12:02:10,423.0,1020.0,722.0
2023-01-27,1900-01-01 07:02:59,1900-01-01 17:01:49,1900-01-01 12:02:24,422.0,1021.0,722.0
2023-01-28,1900-01-01 07:02:12,1900-01-01 17:03:01,1900-01-01 12:02:37,422.0,1023.0,722.0
2023-01-29,1900-01-01 07:01:24,1900-01-01 17:04:14,1900-01-01 12:02:49,421.0,1024.0,722.0
2023-01-30,1900-01-01 07:00:34,1900-01-01 17:05:26,1900-01-01 12:03:00,420.0,1025.0,723.0
2023-01-31,1900-01-01 06:59:42,1900-01-01 17:06:39,1900-01-01 12:03:11,419.0,1026.0,723.0
2023-02-01,1900-01-01 06:58:49,1900-01-01 17:07:52,1900-01-01 12:03:20,418.0,1027.0,723.0
2023-02-02,1900-01-01 06:57:54,1900-01-01 17:09:04,1900-01-01 12:03:29,417.0,1029.0,723.0
2023-02-03,1900-01-01 06:56:57,1900-01-01 17:10:17,1900-01-01 12:03:37,416.0,1030.0,723.0
2023-02-04,1900-01-01 06:55:59,1900-01-01 17:11:30,1900-01-01 12:03:44,415.0,1031.0,723.0
2023-02-05,1900-01-01 06:54:59,1900-01-01 17:12:43,1900-01-01 12:03:51,414.0,1032.0,723.0
2023-02-06,1900-01-01 06:53:57,1900-01-01 17:13:56,1900-01-01 12:03:56,413.0,1033.0,723.0
2023-02-07,1900-01-01 06:52:54,1900-01-01 17:15:09,1900-01-01 12:04:01,412.0,1035.0,724.0
2023-02-08,1900-01-01 06:51:49,1900-01-01 17:16:21,1900-01-01 12:04:05,411.0,1036.0,724.0
2023-02-09,1900-01-01 06:50:43,1900-01-01 17:17:34,1900-01-01 12:04:08,410.0,1037.0,724.0
2023-02-10,1900-01-01 06:49:35,1900-01-01 17:18:46,1900-01-01 12:04:11,409.0,1038.0,724.0
2023-02-11,1900-01-01 06:48:26,1900-01-01 17:19:58,1900-01-01 12:04:12,408.0,1039.0,724.0
2023-02-12,1900-01-01 06:47:16,1900-01-01 17:21:10,1900-01-01 12:04:13,407.0,1041.0,724.0
2023-02-13,1900-01-01 06:46:04,1900-01-01 17:22:21,1900-01-01 12:04:13,406.0,1042.0,724.0
2023-02-14,1900-01-01 06:44:51,1900-01-01 17:23:33,1900-01-01 12:04:12,404.0,1043.0,724.0
2023-02-15,1900-01-01 06:43:37,1900-01-01 17:24:44,1900-01-01 12:04:10,403.0,1044.0,724.0
2023-02-16,1900-01-01 06:42:21,1900-01-01 17:25:55,1900-01-01 12:04:08,402.0,1045.0,724.0
2023-02-17,1900-01-01 06:41:04,1900-01-01 17:27:05,1900-01-01 12:04:05,401.0,1047.0,724.0
2023-02-18,1900-01-01 06:39:46,1900-01-01 17:28:15,1900-01-01 12:04:01,399.0,1048.0,724.0
2023-02-19,1900-01-01 06:38:27,1900-01-01 17:29:25,1900-01-01 12:03:56,398.0,1049.0,723.0
2023-02-20,1900-01-01 06:37:07,1900-01-01 17:30:34,1900-01-01 12:03:51,397.0,1050.0,723.0
2023-02-21,1900-01-01 06:35:45,1900-01-01 17:31:44,1900-01-01 12:03:44,395.0,1051.0,723.0
2023-02-22,1900-01-01 06:34:23,1900-01-01 17:32:52,1900-01-01 12:03:38,394.0,1052.0,723.0
2023-02-23,1900-01-01 06:32:59,1900-01-01 17:34:01,1900-01-01 12:03:30,392.0,1054.0,723.0
2023-02-24,1900-01-01 06:31:35,1900-01-01 17:35:09,1900-01-01 12:03:22,391.0,1055.0,723.0
2023-02-25,1900-01-01 06:30:09,1900-01-01 17:36:17,1900-01-01 12:03:13,390.0,1056.0,723.0
2023-02-26,1900-01-01 06:28:43,1900-01-01 17:37:24,1900-01-01 12:03:03,388.0,1057.0,723.0
2023-02-27,1900-01-01 06:27:16,1900-01-01 17:38:31,1900-01-01 12:02:53,387.0,1058.0,722.0
2023-02-28,1900-01-01 06:25:48,1900-01-01 17:39:37,1900-01-01 12:02:43,385.0,1059.0,722.0
2023-03-01,1900-01-01 06:24:19,1900-01-01 17:40:44,1900-01-01 12:02:31,384.0,1060.0,722.0
2023-03-02,1900-01-01 06:22:49,1900-01-01 17:41:50,1900-01-01 12:02:19,382.0,1061.0,722.0
2023-03-03,1900-01-01 06:21:19,1900-01-01 17:42:55,1900-01-01 12:02:07,381.0,1062.0,722.0
2023-03-04,1900-01-01 06:19:47,1900-01-01 17:44:00,1900-01-01 12:01:54,379.0,1064.0,721.0
2023-03-05,1900-01-01 06:18:16,1900-01-01 17:45:05,1900-01-01 12:01:40,378.0,1065.0,721.0
2023-03-06,1900-01-01 06:16:43,1900-01-01 17:46:10,1900-01-01 12:01:26,376.0,1066.0,721.0
2023-03-07,1900-01-01 06:15:10,1900-01-01 17:47:14,1900-01-01 12:01:12,375.0,1067.0,721.0
2023-03-08,1900-01-01 06:13:36,1900-01-01 17:48:18,1900-01-01 12:00:57,373.0,1068.0,720.0
2023-03-09,1900-01-01 06:12:02,1900-01-01 17:49:21,1900-01-01 12:00:42,372.0,1069.0,720.0
2023-03-10,1900-01-01 06:10:27,1900-01-01 17:50:24,1900-01-01 12:00:26,370.0,1070.0,720.0
2023-03-11,1900-01-01 06:08:52,1900-01-01 17:51:27,1900-01-01 12:00:10,368.0,1071.0,720.0
2023-03-12,1900-01-01 06:07:17,1900-01-01 17:52:30,1900-01-01 11:59:53,367.0,1072.0,719.0
2023-03-13,1900-01-01 06:05:40,1900-01-01 17:53:32,1900-01-01 11:59:36,365.0,1073.0,719.0
2023-03-14,1900-01-01 06:04:04,1900-01-01 17:54:35,1900-01-01 11:59:19,364.0,1074.0,719.0
2023-03-15,1900-01-01 06:02:27,1900-01-01 17:55:37,1900-01-01 11:59:02,362.0,1075.0,719.0
2023-03-16,1900-01-01 06:00:50,1900-01-01 17:56:38,1900-01-01 11:58:44,360.0,1076.0,718.0
2023-03-17,1900-01-01 05:59:13,1900-01-01 17:57:40,1900-01-01 11:58:26,359.0,1077.0,718.0
2023-03-18,1900-01-01 05:57:35,1900-01-01 17:58:41,1900-01-01 11:58:08,357.0,1078.0,718.0
2023-03-19,1900-01-01 05:55:58,1900-01-01 17:59:42,1900-01-01 11:57:50,355.0,1079.0,717.0
2023-03-20,1900-01-01 05:54:20,1900-01-01 18:00:43,1900-01-01 11:57:31,354.0,1080.0,717.0
2023-03-21,1900-01-01 05:52:42,1900-01-01 18:01:44,1900-01-01 11:57:13,352.0,1081.0,717.0
2023-03-22,1900-01-01 05:51:04,1900-01-01 18:02:45,1900-01-01 11:56:54,351.0,1082.0,716.0
2023-03-23,1900-01-01 05:49:26,1900-01-01 18:03:45,1900-01-01 11:56:35,349.0,1083.0,716.0
2023-03-24,1900-01-01 05:47:47,1900-01-01 18:04:46,1900-01-01 11:56:16,347.0,1084.0,716.0
2023-03-25,1900-01-01 05:46:09,1900-01-01 18:05:46,1900-01-01 11:55:57,346.0,1085.0,715.0
2023-03-26,1900-01-01 05:44:31,1900-01-01 18:06:46,1900-01-01 11:55:39,344.0,1086.0,715.0
2023-03-27,1900-01-01 05:42:53,1900-01-01 18:07:46,1900-01-01 11:55:20,342.0,1087.0,715.0
2023-03-28,1900-01-01 05:41:15,1900-01-01 18:08:46,1900-01-01 11:55:01,341.0,1088.0,715.0
2023-03-29,1900-01-01 05:39:37,1900-01-01 18:09:46,1900-01-01 11:54:42,339.0,1089.0,714.0
2023-03-30,1900-01-01 05:38:00,1900-01-01 18:10:46,1900-01-01 11:54:23,338.0,1090.0,714.0
2023-03-31,1900-01-01 05:36:22,1900-01-01 18:11:46,1900-01-01 11:54:04,336.0,1091.0,714.0
2023-04-01,1900-01-01 05:34:45,1900-01-01 18:12:46,1900-01-01 11:53:46,334.0,1092.0,713.0
2023-04-02,1900-01-01 05:33:08,1900-01-01 18:13:46,1900-01-01 11:53:27,333.0,1093.0,713.0
2023-04-03,1900-01-01 05:31:32,1900-01-01 18:14:46,1900-01-01 11:53:09,331.0,1094.0,713.0
2023-04-04,1900-01-01 05:29:55,1900-01-01 18:15:46,1900-01-01 11:52:51,329.0,1095.0,712.0
2023-04-05,1900-01-01 05:28:20,1900-01-01 18:16:46,1900-01-01 11:52:33,328.0,1096.0,712.0
2023-04-06,1900-01-01 05:26:44,1900-01-01 18:17:47,1900-01-01 11:52:15,326.0,1097.0,712.0
2023-04-07,1900-01-01 05:25:09,1900-01-01 18:18:47,1900-01-01 11:51:58,325.0,1098.0,711.0
2023-04-08,1900-01-01 05:23:35,1900-01-01 18:19:47,1900-01-01 11:51:41,323.0,1099.0,711.0
2023-04-09,1900-01-01 05:22:01,1900-01-01 18:20:47,1900-01-01 11:51:24,322.0,1100.0,711.0
2023-04-10,1900-01-01 05:20:27,1900-01-01 18:21:48,1900-01-01 11:51:07,320.0,1101.0,711.0
2023-04-11,1900-01-01 05:18:54,1900-01-01 18:22:48,1900-01-01 11:50:51,318.0,1102.0,710.0
2023-04-12,1900-01-01 05:17:22,1900-01-01 18:23:48,1900-01-01 11:50:35,317.0,1103.0,710.0
2023-04-13,1900-01-01 05:15:50,1900-01-01 18:24:49,1900-01-01 11:50:20,315.0,1104.0,710.0
2023-04-14,1900-01-01 05:14:19,1900-01-01 18:25:50,1900-01-01 11:50:05,314.0,1105.0,710.0
2023-04-15,1900-01-01 05:12:49,1900-01-01 18:26:50,1900-01-01 11:49:50,312.0,1106.0,709.0
2023-04-16,1900-01-01 05:11:19,1900-01-01 18:27:51,1900-01-01 11:49:35,311.0,1107.0,709.0
2023-04-17,1900-01-01 05:09:51,1900-01-01 18:28:52,1900-01-01 11:49:21,309.0,1108.0,709.0
2023-04-18,1900-01-01 05:08:23,1900-01-01 18:29:53,1900-01-01 11:49:08,308.0,1109.0,709.0
2023-04-19,1900-01-01 05:06:55,1900-01-01 18:30:54,1900-01-01 11:48:55,306.0,1110.0,708.0
2023-04-20,1900-01-01 05:05:29,1900-01-01 18:31:55,1900-01-01 11:48:42,305.0,1111.0,708.0
2023-04-21,1900-01-01 05:04:03,1900-01-01 18:32:57,1900-01-01 11:48:30,304.0,1112.0,708.0
2023-04-22,1900-01-01 05:02:39,1900-01-01 18:33:58,1900-01-01 11:48:18,302.0,1113.0,708.0
2023-04-23,1900-01-01 05:01:15,1900-01-01 18:34:59,1900-01-01 11:48:07,301.0,1114.0,708.0
2023-04-24,1900-01-01 04:59:52,1900-01-01 18:36:01,1900-01-01 11:47:57,299.0,1116.0,707.0
2023-04-25,1900-01-01 04:58:31,1900-01-01 18:37:02,1900-01-01 11:47:46,298.0,1117.0,707.0
2023-04-26,1900-01-01 04:57:10,1900-01-01 18:38:03,1900-01-01 11:47:37,297.0,1118.0,707.0
2023-04-27,1900-01-01 04:55:50,1900-01-01 18:39:05,1900-01-01 11:47:28,295.0,1119.0,707.0
2023-04-28,1900-01-01 04:54:32,1900-01-01 18:40:06,1900-01-01 11:47:19,294.0,1120.0,707.0
2023-04-29,1900-01-01 04:53:14,1900-01-01 18:41:08,1900-01-01 11:47:11,293.0,1121.0,707.0
2023-04-30,1900-01-01 04:51:58,1900-01-01 18:42:09,1900-01-01 11:47:04,291.0,1122.0,707.0
2023-05-01,1900-01-01 04:50:43,1900-01-01 18:43:10,1900-01-01 11:46:57,290.0,1123.0,706.0
2023-05-02,1900-01-01 04:49:29,1900-01-01 18:44:12,1900-01-01 11:46:50,289.0,1124.0,706.0
2023-05-03,1900-01-01 04:48:16,1900-01-01 18:45:13,1900-01-01 11:46:44,288.0,1125.0,706.0
2023-05-04,1900-01-01 04:47:04,1900-01-01 18:46:14,1900-01-01 11:46:39,287.0,1126.0,706.0
2023-05-05,1900-01-01 04:45:54,1900-01-01 18:47:15,1900-01-01 11:46:34,285.0,1127.0,706.0
2023-05-06,1900-01-01 04:44:45,1900-01-01 18:48:15,1900-01-01 11:46:30,284.0,1128.0,706.0
2023-05-07,1900-01-01 04:43:38,1900-01-01 18:49:16,1900-01-01 11:46:27,283.0,1129.0,706.0
2023-05-08,1900-01-01 04:42:31,1900-01-01 18:50:16,1900-01-01 11:46:24,282.0,1130.0,706.0
2023-05-09,1900-01-01 04:41:26,1900-01-01 18:51:16,1900-01-01 11:46:21,281.0,1131.0,706.0
2023-05-10,1900-01-01 04:40:23,1900-01-01 18:52:16,1900-01-01 11:46:19,280.0,1132.0,706.0
2023-05-11,1900-01-01 04:39:21,1900-01-01 18:53:15,1900-01-01 11:46:18,279.0,1133.0,706.0
2023-05-12,1900-01-01 04:38:20,1900-01-01 18:54:14,1900-01-01 11:46:17,278.0,1134.0,706.0
2023-05-13,1900-01-01 04:37:21,1900-01-01 18:55:13,1900-01-01 11:46:17,277.0,1135.0,706.0
2023-05-14,1900-01-01 04:36:23,1900-01-01 18:56:12,1900-01-01 11:46:17,276.0,1136.0,706.0
2023-05-15,1900-01-01 04:35:27,1900-01-01 18:57:09,1900-01-01 11:46:18,275.0,1137.0,706.0
2023-05-16,1900-01-01 04:34:33,1900-01-01 18:58:07,1900-01-01 11:46:20,274.0,1138.0,706.0
2023-05-17,1900-01-01 04:33:40,1900-01-01 18:59:04,1900-01-01 11:46:22,273.0,1139.0,706.0
2023-05-18,1900-01-01 04:32:48,1900-01-01 19:00:00,1900-01-01 11:46:24,272.0,1140.0,706.0
2023-05-19,1900-01-01 04:31:58,1900-01-01 19:00:56,1900-01-01 11:46:27,271.0,1140.0,706.0
2023-05-20,1900-01-01 04:31:10,1900-01-01 19:01:51,1900-01-01 11:46:31,271.0,1141.0,706.0
2023-05-21,1900-01-01 04:30:24,1900-01-01 19:02:45,1900-01-01 11:46:35,270.0,1142.0,706.0
2023-05-22,1900-01-01 04:29:39,1900-01-01 19:03:39,1900-01-01 11:46:39,269.0,1143.0,706.0
2023-05-23,1900-01-01 04:28:56,1900-01-01 19:04:32,1900-01-01 11:46:44,268.0,1144.0,706.0
2023-05-24,1900-01-01 04:28:14,1900-01-01 19:05:24,1900-01-01 11:46:49,268.0,1145.0,706.0
2023-05-25,1900-01-01 04:27:35,1900-01-01 19:06:16,1900-01-01 11:46:55,267.0,1146.0,706.0
2023-05-26,1900-01-01 04:26:57,1900-01-01 19:07:06,1900-01-01 11:47:02,266.0,1147.0,707.0
2023-05-27,1900-01-01 04:26:20,1900-01-01 19:07:56,1900-01-01 11:47:08,266.0,1147.0,707.0
2023-05-28,1900-01-01 04:25:46,1900-01-01 19:08:45,1900-01-01 11:47:15,265.0,1148.0,707.0
2023-05-29,1900-01-01 04:25:13,1900-01-01 19:09:32,1900-01-01 11:47:23,265.0,1149.0,707.0
2023-05-30,1900-01-01 04:24:43,1900-01-01 19:10:19,1900-01-01 11:47:31,264.0,1150.0,707.0
2023-05-31,1900-01-01 04:24:14,1900-01-01 19:11:05,1900-01-01 11:47:39,264.0,1151.0,707.0
2023-06-01,1900-01-01 04:23:47,1900-01-01 19:11:49,1900-01-01 11:47:48,263.0,1151.0,707.0
2023-06-02,1900-01-01 04:23:21,1900-01-01 19:12:32,1900-01-01 11:47:57,263.0,1152.0,707.0
2023-06-03,1900-01-01 04:22:58,1900-01-01 19:13:14,1900-01-01 11:48:06,262.0,1153.0,708.0
2023-06-04,1900-01-01 04:22:36,1900-01-01 19:13:55,1900-01-01 11:48:16,262.0,1153.0,708.0
2023-06-05,1900-01-01 04:22:17,1900-01-01 19:14:35,1900-01-01 11:48:26,262.0,1154.0,708.0
2023-06-06,1900-01-01 04:21:59,1900-01-01 19:15:13,1900-01-01 11:48:36,261.0,1155.0,708.0
2023-06-07,1900-01-01 04:21:43,1900-01-01 19:15:50,1900-01-01 11:48:47,261.0,1155.0,708.0
2023-06-08,1900-01-01 04:21:29,1900-01-01 19:16:25,1900-01-01 11:48:57,261.0,1156.0,708.0
2023-06-09,1900-01-01 04:21:17,1900-01-01 19:16:59,1900-01-01 11:49:08,261.0,1156.0,709.0
2023-06-10,1900-01-01 04:21:07,1900-01-01 19:17:32,1900-01-01 11:49:19,261.0,1157.0,709.0
2023-06-11,1900-01-01 04:20:59,1900-01-01 19:18:03,1900-01-01 11:49:31,260.0,1158.0,709.0
2023-06-12,1900-01-01 04:20:52,1900-01-01 19:18:33,1900-01-01 11:49:42,260.0,1158.0,709.0
2023-06-13,1900-01-01 04:20:48,1900-01-01 19:19:00,1900-01-01 11:49:54,260.0,1159.0,709.0
2023-06-14,1900-01-01 04:20:45,1900-01-01 19:19:27,1900-01-01 11:50:06,260.0,1159.0,710.0
2023-06-15,1900-01-01 04:20:44,1900-01-01 19:19:51,1900-01-01 11:50:18,260.0,1159.0,710.0
2023-06-16,1900-01-01 04:20:45,1900-01-01 19:20:14,1900-01-01 11:50:30,260.0,1160.0,710.0
2023-06-17,1900-01-01 04:20:48,1900-01-01 19:20:36,1900-01-01 11:50:42,260.0,1160.0,710.0
2023-06-18,1900-01-01 04:20:53,1900-01-01 19:20:55,1900-01-01 11:50:54,260.0,1160.0,710.0
2023-06-19,1900-01-01 04:20:59,1900-01-01 19:21:13,1900-01-01 11:51:06,260.0,1161.0,711.0
2023-06-20,1900-01-01 04:21:08,1900-01-01 19:21:29,1900-01-01 11:51:19,261.0,1161.0,711.0
2023-06-21,1900-01-01 04:21:18,1900-01-01 19:21:43,1900-01-01 11:51:31,261.0,1161.0,711.0
2023-06-22,1900-01-01 04:21:30,1900-01-01 19:21:56,1900-01-01 11:51:43,261.0,1161.0,711.0
2023-06-23,1900-01-01 04:21:44,1900-01-01 19:22:06,1900-01-01 11:51:55,261.0,1162.0,711.0
2023-06-24,1900-01-01 04:21:59,1900-01-01 19:22:15,1900-01-01 11:52:07,261.0,1162.0,712.0
2023-06-25,1900-01-01 04:22:16,1900-01-01 19:22:22,1900-01-01 11:52:19,262.0,1162.0,712.0
2023-06-26,1900-01-01 04:22:35,1900-01-01 19:22:27,1900-01-01 11:52:31,262.0,1162.0,712.0
2023-06-27,1900-01-01 04:22:56,1900-01-01 19:22:30,1900-01-01 11:52:43,262.0,1162.0,712.0
2023-06-28,1900-01-01 04:23:18,1900-01-01 19:22:31,1900-01-01 11:52:55,263.0,1162.0,712.0
2023-06-29,1900-01-01 04:23:42,1900-01-01 19:22:31,1900-01-01 11:53:06,263.0,1162.0,713.0
2023-06-30,1900-01-01 04:24:07,1900-01-01 19:22:28,1900-01-01 11:53:17,264.0,1162.0,713.0
2023-07-01,1900-01-01 04:24:34,1900-01-01 19:22:23,1900-01-01 11:53:29,264.0,1162.0,713.0
2023-07-02,1900-01-01 04:25:02,1900-01-01 19:22:17,1900-01-01 11:53:39,265.0,1162.0,713.0
2023-07-03,1900-01-01 04:25:32,1900-01-01 19:22:08,1900-01-01 11:53:50,265.0,1162.0,713.0
2023-07-04,1900-01-01 04:26:03,1900-01-01 19:21:58,1900-01-01 11:54:01,266.0,1161.0,714.0
2023-07-05,1900-01-01 04:26:36,1900-01-01 19:21:46,1900-01-01 11:54:11,266.0,1161.0,714.0
2023-07-06,1900-01-01 04:27:10,1900-01-01 19:21:31,1900-01-01 11:54:21,267.0,1161.0,714.0
2023-07-07,1900-01-01 04:27:45,1900-01-01 19:21:15,1900-01-01 11:54:30,267.0,1161.0,714.0
2023-07-08,1900-01-01 04:28:22,1900-01-01 19:20:57,1900-01-01 11:54:39,268.0,1160.0,714.0
2023-07-09,1900-01-01 04:29:00,1900-01-01 19:20:37,1900-01-01 11:54:48,269.0,1160.0,714.0
2023-07-10,1900-01-01 04:29:39,1900-01-01 19:20:15,1900-01-01 11:54:57,269.0,1160.0,714.0
2023-07-11,1900-01-01 04:30:19,1900-01-01 19:19:51,1900-01-01 11:55:05,270.0,1159.0,715.0
2023-07-12,1900-01-01 04:31:01,1900-01-01 19:19:25,1900-01-01 11:55:13,271.0,1159.0,715.0
2023-07-13,1900-01-01 04:31:43,1900-01-01 19:18:58,1900-01-01 11:55:20,271.0,1158.0,715.0
2023-07-14,1900-01-01 04:32:27,1900-01-01 19:18:28,1900-01-01 11:55:27,272.0,1158.0,715.0
2023-07-15,1900-01-01 04:33:12,1900-01-01 19:17:57,1900-01-01 11:55:34,273.0,1157.0,715.0
2023-07-16,1900-01-01 04:33:57,1900-01-01 19:17:23,1900-01-01 11:55:40,273.0,1157.0,715.0
2023-07-17,1900-01-01 04:34:44,1900-01-01 19:16:48,1900-01-01 11:55:46,274.0,1156.0,715.0
2023-07-18,1900-01-01 04:35:31,1900-01-01 19:16:11,1900-01-01 11:55:51,275.0,1156.0,715.0
2023-07-19,1900-01-01 04:36:19,1900-01-01 19:15:33,1900-01-01 11:55:56,276.0,1155.0,715.0
2023-07-20,1900-01-01 04:37:08,1900-01-01 19:14:52,1900-01-01 11:56:00,277.0,1154.0,716.0
2023-07-21,1900-01-01 04:37:58,1900-01-01 19:14:10,1900-01-01 11:56:04,277.0,1154.0,716.0
2023-07-22,1900-01-01 04:38:49,1900-01-01 19:13:26,1900-01-01 11:56:07,278.0,1153.0,716.0
2023-07-23,1900-01-01 04:39:40,1900-01-01 19:12:40,1900-01-01 11:56:10,279.0,1152.0,716.0
2023-07-24,1900-01-01 04:40:32,1900-01-01 19:11:53,1900-01-01 11:56:12,280.0,1151.0,716.0
2023-07-25,1900-01-01 04:41:24,1900-01-01 19:11:03,1900-01-01 11:56:14,281.0,1151.0,716.0
2023-07-26,1900-01-01 04:42:17,1900-01-01 19:10:13,1900-01-01 11:56:15,282.0,1150.0,716.0
2023-07-27,1900-01-01 04:43:11,1900-01-01 19:09:20,1900-01-01 11:56:15,283.0,1149.0,716.0
2023-07-28,1900-01-01 04:44:05,1900-01-01 19:08:26,1900-01-01 11:56:16,284.0,1148.0,716.0
2023-07-29,1900-01-01 04:44:59,1900-01-01 19:07:31,1900-01-01 11:56:15,284.0,1147.0,716.0
2023-07-30,1900-01-01 04:45:54,1900-01-01 19:06:33,1900-01-01 11:56:14,285.0,1146.0,716.0
2023-07-31,1900-01-01 04:46:50,1900-01-01 19:05:35,1900-01-01 11:56:12,286.0,1145.0,716.0
2023-08-01,1900-01-01 04:47:45,1900-01-01 19:04:34,1900-01-01 11:56:10,287.0,1144.0,716.0
