date,sunrise,sunset,solar_noon,sunrise(minutes),sunset(minutes),solar_noon(minutes)
2023-01-01,1900-01-01 07:37:51,1900-01-01 16:59:49,1900-01-01 12:18:50,457.0,1019.0,738.0
2023-01-02,1900-01-01 07:37:58,1900-01-01 17:00:37,1900-01-01 12:19:18,457.0,1020.0,739.0
2023-01-03,1900-01-01 07:38:03,1900-01-01 17:01:27,1900-01-01 12:19:45,458.0,1021.0,739.0
2023-01-04,1900-01-01 07:38:05,1900-01-01 17:02:19,1900-01-01 12:20:12,458.0,1022.0,740.0
2023-01-05,1900-01-01 07:38:05,1900-01-01 17:03:12,1900-01-01 12:20:39,458.0,1023.0,740.0
2023-01-06,1900-01-01 07:38:03,1900-01-01 17:04:06,1900-01-01 12:21:05,458.0,1024.0,741.0
2023-01-07,1900-01-01 07:37:59,1900-01-01 17:05:02,1900-01-01 12:21:31,457.0,1025.0,741.0
2023-01-08,1900-01-01 07:37:53,1900-01-01 17:05:59,1900-01-01 12:21:56,457.0,1025.0,741.0
2023-01-09,1900-01-01 07:37:45,1900-01-01 17:06:58,1900-01-01 12:22:21,457.0,1026.0,742.0
2023-01-10,1900-01-01 07:37:34,1900-01-01 17:07:58,1900-01-01 12:22:46,457.0,1027.0,742.0
2023-01-11,1900-01-01 07:37:21,1900-01-01 17:08:58,1900-01-01 12:23:10,457.0,1028.0,743.0
2023-01-12,1900-01-01 07:37:06,1900-01-01 17:10:00,1900-01-01 12:23:33,457.0,1030.0,743.0
2023-01-13,1900-01-01 07:36:49,1900-01-01 17:11:04,1900-01-01 12:23:56,456.0,1031.0,743.0
2023-01-14,1900-01-01 07:36:30,1900-01-01 17:12:08,1900-01-01 12:24:19,456.0,1032.0,744.0
2023-01-15,1900-01-01 07:36:09,1900-01-01 17:13:13,1900-01-01 12:24:41,456.0,1033.0,744.0
2023-01-16,1900-01-01 07:35:45,1900-01-01 17:14:19,1900-01-01 12:25:02,455.0,1034.0,745.0
2023-01-17,1900-01-01 07:35:20,1900-01-01 17:15:25,1900-01-01 12:25:23,455.0,1035.0,745.0
2023-01-18,1900-01-01 07:34:52,1900-01-01 17:16:33,1900-01-01 12:25:43,454.0,1036.0,745.0
2023-01-19,1900-01-01 07:34:23,1900-01-01 17:17:41,1900-01-01 12:26:02,454.0,1037.0,746.0
2023-01-20,1900-01-01 07:33:51,1900-01-01 17:18:50,1900-01-01 12:26:21,453.0,1038.0,746.0
2023-01-21,1900-01-01 07:33:18,1900-01-01 17:20:00,1900-01-01 12:26:39,453.0,1040.0,746.0
2023-01-22,1900-01-01 07:32:42,1900-01-01 17:21:10,1900-01-01 12:26:56,452.0,1041.0,746.0
2023-01-23,1900-01-01 07:32:04,1900-01-01 17:22:21,1900-01-01 12:27:13,452.0,1042.0,747.0
2023-01-24,1900-01-01 07:31:25,1900-01-01 17:23:32,1900-01-01 12:27:28,451.0,1043.0,747.0
2023-01-25,1900-01-01 07:30:44,1900-01-01 17:24:43,1900-01-01 12:27:44,450.0,1044.0,747.0
2023-01-26,1900-01-01 07:30:00,1900-01-01 17:25:55,1900-01-01 12:27:58,450.0,1045.0,747.0
2023-01-27,1900-01-01 07:29:15,1900-01-01 17:27:08,1900-01-01 12:28:11,449.0,1047.0,748.0
2023-01-28,1900-01-01 07:28:28,1900-01-01 17:28:20,1900-01-01 12:28:24,448.0,1048.0,748.0
2023-01-29,1900-01-01 07:27:40,1900-01-01 17:29:33,1900-01-01 12:28:36,447.0,1049.0,748.0
2023-01-30,1900-01-01 07:26:49,1900-01-01 17:30:46,1900-01-01 12:28:48,446.0,1050.0,748.0
2023-01-31,1900-01-01 07:25:57,1900-01-01 17:31:59,1900-01-01 12:28:58,445.0,1051.0,748.0
2023-02-01,1900-01-01 07:25:03,1900-01-01 17:33:13,1900-01-01 12:29:08,445.0,1053.0,749.0
2023-02-02,1900-01-01 07:24:07,1900-01-01 17:34:26,1900-01-01 12:29:16,444.0,1054.0,749.0
2023-02-03,1900-01-01 07:23:10,1900-01-01 17:35:39,1900-01-01 12:29:25,443.0,1055.0,749.0
2023-02-04,1900-01-01 07:22:11,1900-01-01 17:36:53,1900-01-01 12:29:32,442.0,1056.0,749.0
2023-02-05,1900-01-01 07:21:10,1900-01-01 17:38:06,1900-01-01 12:29:38,441.0,1058.0,749.0
2023-02-06,1900-01-01 07:20:08,1900-01-01 17:39:20,1900-01-01 12:29:44,440.0,1059.0,749.0
2023-02-07,1900-01-01 07:19:04,1900-01-01 17:40:33,1900-01-01 12:29:48,439.0,1060.0,749.0
2023-02-08,1900-01-01 07:17:59,1900-01-01 17:41:46,1900-01-01 12:29:52,437.0,1061.0,749.0
2023-02-09,1900-01-01 07:16:52,1900-01-01 17:42:59,1900-01-01 12:29:56,436.0,1062.0,749.0
2023-02-10,1900-01-01 07:15:44,1900-01-01 17:44:12,1900-01-01 12:29:58,435.0,1064.0,749.0
2023-02-11,1900-01-01 07:14:34,1900-01-01 17:45:24,1900-01-01 12:29:59,434.0,1065.0,749.0
2023-02-12,1900-01-01 07:13:23,1900-01-01 17:46:37,1900-01-01 12:30:00,433.0,1066.0,750.0
2023-02-13,1900-01-01 07:12:11,1900-01-01 17:47:49,1900-01-01 12:30:00,432.0,1067.0,750.0
2023-02-14,1900-01-01 07:10:57,1900-01-01 17:49:01,1900-01-01 12:29:59,430.0,1069.0,749.0
2023-02-15,1900-01-01 07:09:42,1900-01-01 17:50:13,1900-01-01 12:29:57,429.0,1070.0,749.0
2023-02-16,1900-01-01 07:08:26,1900-01-01 17:51:24,1900-01-01 12:29:55,428.0,1071.0,749.0
2023-02-17,1900-01-01 07:07:08,1900-01-01 17:52:35,1900-01-01 12:29:52,427.0,1072.0,749.0
2023-02-18,1900-01-01 07:05:50,1900-01-01 17:53:46,1900-01-01 12:29:48,425.0,1073.0,749.0
2023-02-19,1900-01-01 07:04:30,1900-01-01 17:54:56,1900-01-01 12:29:43,424.0,1074.0,749.0
2023-02-20,1900-01-01 07:03:09,1900-01-01 17:56:06,1900-01-01 12:29:38,423.0,1076.0,749.0
2023-02-21,1900-01-01 07:01:47,1900-01-01 17:57:16,1900-01-01 12:29:31,421.0,1077.0,749.0
2023-02-22,1900-01-01 07:00:24,1900-01-01 17:58:25,1900-01-01 12:29:25,420.0,1078.0,749.0
