date,sunrise,sunset,solar_noon,sunrise(minutes),sunset(minutes),solar_noon(minutes)
2023-01-01,1900-01-01 07:26:37,1900-01-01 16:49:53,1900-01-01 12:08:15,446.0,1009.0,728.0
2023-01-02,1900-01-01 07:26:44,1900-01-01 16:50:42,1900-01-01 12:08:43,446.0,1010.0,728.0
2023-01-03,1900-01-01 07:26:49,1900-01-01 16:51:31,1900-01-01 12:09:10,446.0,1011.0,729.0
2023-01-04,1900-01-01 07:26:52,1900-01-01 16:52:23,1900-01-01 12:09:37,446.0,1012.0,729.0
2023-01-05,1900-01-01 07:26:53,1900-01-01 16:53:15,1900-01-01 12:10:04,446.0,1013.0,730.0
2023-01-06,1900-01-01 07:26:51,1900-01-01 16:54:09,1900-01-01 12:10:30,446.0,1014.0,730.0
2023-01-07,1900-01-01 07:26:47,1900-01-01 16:55:05,1900-01-01 12:10:56,446.0,1015.0,730.0
2023-01-08,1900-01-01 07:26:41,1900-01-01 16:56:02,1900-01-01 12:11:22,446.0,1016.0,731.0
2023-01-09,1900-01-01 07:26:33,1900-01-01 16:57:00,1900-01-01 12:11:47,446.0,1017.0,731.0
2023-01-10,1900-01-01 07:26:23,1900-01-01 16:57:59,1900-01-01 12:12:11,446.0,1017.0,732.0
2023-01-11,1900-01-01 07:26:11,1900-01-01 16:59:00,1900-01-01 12:12:35,446.0,1019.0,732.0
2023-01-12,1900-01-01 07:25:56,1900-01-01 17:00:01,1900-01-01 12:12:59,445.0,1020.0,732.0
2023-01-13,1900-01-01 07:25:40,1900-01-01 17:01:04,1900-01-01 12:13:22,445.0,1021.0,733.0
2023-01-14,1900-01-01 07:25:21,1900-01-01 17:02:08,1900-01-01 12:13:44,445.0,1022.0,733.0
2023-01-15,1900-01-01 07:25:00,1900-01-01 17:03:12,1900-01-01 12:14:06,445.0,1023.0,734.0
2023-01-16,1900-01-01 07:24:37,1900-01-01 17:04:18,1900-01-01 12:14:28,444.0,1024.0,734.0
2023-01-17,1900-01-01 07:24:12,1900-01-01 17:05:24,1900-01-01 12:14:48,444.0,1025.0,734.0
2023-01-18,1900-01-01 07:23:45,1900-01-01 17:06:31,1900-01-01 12:15:08,443.0,1026.0,735.0
2023-01-19,1900-01-01 07:23:16,1900-01-01 17:07:39,1900-01-01 12:15:28,443.0,1027.0,735.0
2023-01-20,1900-01-01 07:22:45,1900-01-01 17:08:48,1900-01-01 12:15:46,442.0,1028.0,735.0
2023-01-21,1900-01-01 07:22:12,1900-01-01 17:09:57,1900-01-01 12:16:04,442.0,1029.0,736.0
2023-01-22,1900-01-01 07:21:37,1900-01-01 17:11:06,1900-01-01 12:16:22,441.0,1031.0,736.0
2023-01-23,1900-01-01 07:21:00,1900-01-01 17:12:17,1900-01-01 12:16:38,441.0,1032.0,736.0
2023-01-24,1900-01-01 07:20:21,1900-01-01 17:13:27,1900-01-01 12:16:54,440.0,1033.0,736.0
2023-01-25,1900-01-01 07:19:40,1900-01-01 17:14:38,1900-01-01 12:17:09,439.0,1034.0,737.0
2023-01-26,1900-01-01 07:18:58,1900-01-01 17:15:50,1900-01-01 12:17:24,438.0,1035.0,737.0
2023-01-27,1900-01-01 07:18:13,1900-01-01 17:17:02,1900-01-01 12:17:37,438.0,1037.0,737.0
2023-01-28,1900-01-01 07:17:27,1900-01-01 17:18:14,1900-01-01 12:17:50,437.0,1038.0,737.0
2023-01-29,1900-01-01 07:16:39,1900-01-01 17:19:26,1900-01-01 12:18:02,436.0,1039.0,738.0
2023-01-30,1900-01-01 07:15:49,1900-01-01 17:20:39,1900-01-01 12:18:14,435.0,1040.0,738.0
2023-01-31,1900-01-01 07:14:57,1900-01-01 17:21:51,1900-01-01 12:18:24,434.0,1041.0,738.0
2023-02-01,1900-01-01 07:14:04,1900-01-01 17:23:04,1900-01-01 12:18:34,434.0,1043.0,738.0
2023-02-02,1900-01-01 07:13:09,1900-01-01 17:24:17,1900-01-01 12:18:43,433.0,1044.0,738.0
2023-02-03,1900-01-01 07:12:12,1900-01-01 17:25:30,1900-01-01 12:18:51,432.0,1045.0,738.0
2023-02-04,1900-01-01 07:11:13,1900-01-01 17:26:43,1900-01-01 12:18:58,431.0,1046.0,738.0
2023-02-05,1900-01-01 07:10:13,1900-01-01 17:27:55,1900-01-01 12:19:04,430.0,1047.0,739.0
2023-02-06,1900-01-01 07:09:12,1900-01-01 17:29:08,1900-01-01 12:19:10,429.0,1049.0,739.0
2023-02-07,1900-01-01 07:08:09,1900-01-01 17:30:21,1900-01-01 12:19:15,428.0,1050.0,739.0
2023-02-08,1900-01-01 07:07:04,1900-01-01 17:31:33,1900-01-01 12:19:19,427.0,1051.0,739.0
2023-02-09,1900-01-01 07:05:58,1900-01-01 17:32:46,1900-01-01 12:19:22,425.0,1052.0,739.0
2023-02-10,1900-01-01 07:04:50,1900-01-01 17:33:58,1900-01-01 12:19:24,424.0,1053.0,739.0
2023-02-11,1900-01-01 07:03:42,1900-01-01 17:35:10,1900-01-01 12:19:26,423.0,1055.0,739.0
2023-02-12,1900-01-01 07:02:31,1900-01-01 17:36:22,1900-01-01 12:19:27,422.0,1056.0,739.0
2023-02-13,1900-01-01 07:01:19,1900-01-01 17:37:34,1900-01-01 12:19:27,421.0,1057.0,739.0
2023-02-14,1900-01-01 07:00:06,1900-01-01 17:38:45,1900-01-01 12:19:26,420.0,1058.0,739.0
2023-02-15,1900-01-01 06:58:52,1900-01-01 17:39:56,1900-01-01 12:19:24,418.0,1059.0,739.0
2023-02-16,1900-01-01 06:57:37,1900-01-01 17:41:07,1900-01-01 12:19:22,417.0,1061.0,739.0
2023-02-17,1900-01-01 06:56:20,1900-01-01 17:42:17,1900-01-01 12:19:18,416.0,1062.0,739.0
2023-02-18,1900-01-01 06:55:02,1900-01-01 17:43:27,1900-01-01 12:19:15,415.0,1063.0,739.0
2023-02-19,1900-01-01 06:53:43,1900-01-01 17:44:37,1900-01-01 12:19:10,413.0,1064.0,739.0
