date,sunrise,sunset,solar_noon,sunrise(minutes),sunset(minutes),solar_noon(minutes)
2023-01-01,1900-01-01 08:30:14,1900-01-01 17:46:53,1900-01-01 13:08:33,510.0,1066.0,788.0
2023-01-02,1900-01-01 08:30:20,1900-01-01 17:47:42,1900-01-01 13:09:01,510.0,1067.0,789.0
2023-01-03,1900-01-01 08:30:24,1900-01-01 17:48:33,1900-01-01 13:09:28,510.0,1068.0,789.0
2023-01-04,1900-01-01 08:30:25,1900-01-01 17:49:25,1900-01-01 13:09:55,510.0,1069.0,789.0
2023-01-05,1900-01-01 08:30:25,1900-01-01 17:50:19,1900-01-01 13:10:22,510.0,1070.0,790.0
2023-01-06,1900-01-01 08:30:22,1900-01-01 17:51:14,1900-01-01 13:10:48,510.0,1071.0,790.0
2023-01-07,1900-01-01 08:30:16,1900-01-01 17:52:11,1900-01-01 13:11:14,510.0,1072.0,791.0
2023-01-08,1900-01-01 08:30:09,1900-01-01 17:53:10,1900-01-01 13:11:39,510.0,1073.0,791.0
2023-01-09,1900-01-01 08:29:59,1900-01-01 17:54:09,1900-01-01 13:12:04,509.0,1074.0,792.0
2023-01-10,1900-01-01 08:29:48,1900-01-01 17:55:10,1900-01-01 13:12:29,509.0,1075.0,792.0
2023-01-11,1900-01-01 08:29:33,1900-01-01 17:56:12,1900-01-01 13:12:53,509.0,1076.0,792.0
2023-01-12,1900-01-01 08:29:17,1900-01-01 17:57:16,1900-01-01 13:13:17,509.0,1077.0,793.0
2023-01-13,1900-01-01 08:28:59,1900-01-01 17:58:20,1900-01-01 13:13:40,508.0,1078.0,793.0
2023-01-14,1900-01-01 08:28:38,1900-01-01 17:59:26,1900-01-01 13:14:02,508.0,1079.0,794.0
2023-01-15,1900-01-01 08:28:15,1900-01-01 18:00:32,1900-01-01 13:14:24,508.0,1080.0,794.0
2023-01-16,1900-01-01 08:27:50,1900-01-01 18:01:40,1900-01-01 13:14:45,507.0,1081.0,794.0
2023-01-17,1900-01-01 08:27:23,1900-01-01 18:02:48,1900-01-01 13:15:06,507.0,1082.0,795.0
2023-01-18,1900-01-01 08:26:54,1900-01-01 18:03:57,1900-01-01 13:15:26,506.0,1083.0,795.0
2023-01-19,1900-01-01 08:26:23,1900-01-01 18:05:07,1900-01-01 13:15:45,506.0,1085.0,795.0
2023-01-20,1900-01-01 08:25:50,1900-01-01 18:06:18,1900-01-01 13:16:04,505.0,1086.0,796.0
2023-01-21,1900-01-01 08:25:14,1900-01-01 18:07:29,1900-01-01 13:16:22,505.0,1087.0,796.0
2023-01-22,1900-01-01 08:24:37,1900-01-01 18:08:41,1900-01-01 13:16:39,504.0,1088.0,796.0
2023-01-23,1900-01-01 08:23:58,1900-01-01 18:09:54,1900-01-01 13:16:56,503.0,1089.0,796.0
2023-01-24,1900-01-01 08:23:16,1900-01-01 18:11:07,1900-01-01 13:17:12,503.0,1091.0,797.0
2023-01-25,1900-01-01 08:22:33,1900-01-01 18:12:20,1900-01-01 13:17:27,502.0,1092.0,797.0
2023-01-26,1900-01-01 08:21:48,1900-01-01 18:13:34,1900-01-01 13:17:41,501.0,1093.0,797.0
2023-01-27,1900-01-01 08:21:01,1900-01-01 18:14:49,1900-01-01 13:17:55,501.0,1094.0,797.0
2023-01-28,1900-01-01 08:20:12,1900-01-01 18:16:03,1900-01-01 13:18:08,500.0,1096.0,798.0
2023-01-29,1900-01-01 08:19:21,1900-01-01 18:17:18,1900-01-01 13:18:20,499.0,1097.0,798.0
2023-01-30,1900-01-01 08:18:28,1900-01-01 18:18:33,1900-01-01 13:18:31,498.0,1098.0,798.0
2023-01-31,1900-01-01 08:17:34,1900-01-01 18:19:48,1900-01-01 13:18:41,497.0,1099.0,798.0
2023-02-01,1900-01-01 08:16:38,1900-01-01 18:21:04,1900-01-01 13:18:51,496.0,1101.0,798.0
2023-02-02,1900-01-01 08:15:40,1900-01-01 18:22:19,1900-01-01 13:19:00,495.0,1102.0,799.0
2023-02-03,1900-01-01 08:14:40,1900-01-01 18:23:35,1900-01-01 13:19:08,494.0,1103.0,799.0
2023-02-04,1900-01-01 08:13:39,1900-01-01 18:24:51,1900-01-01 13:19:15,493.0,1104.0,799.0
2023-02-05,1900-01-01 08:12:36,1900-01-01 18:26:06,1900-01-01 13:19:21,492.0,1106.0,799.0
2023-02-06,1900-01-01 08:11:32,1900-01-01 18:27:22,1900-01-01 13:19:27,491.0,1107.0,799.0
2023-02-07,1900-01-01 08:10:26,1900-01-01 18:28:37,1900-01-01 13:19:32,490.0,1108.0,799.0
2023-02-08,1900-01-01 08:09:19,1900-01-01 18:29:53,1900-01-01 13:19:36,489.0,1109.0,799.0
2023-02-09,1900-01-01 08:08:10,1900-01-01 18:31:08,1900-01-01 13:19:39,488.0,1111.0,799.0
2023-02-10,1900-01-01 08:06:59,1900-01-01 18:32:23,1900-01-01 13:19:41,486.0,1112.0,799.0
2023-02-11,1900-01-01 08:05:47,1900-01-01 18:33:38,1900-01-01 13:19:43,485.0,1113.0,799.0
2023-02-12,1900-01-01 08:04:34,1900-01-01 18:34:53,1900-01-01 13:19:43,484.0,1114.0,799.0
2023-02-13,1900-01-01 08:03:19,1900-01-01 18:36:07,1900-01-01 13:19:43,483.0,1116.0,799.0
2023-02-14,1900-01-01 08:02:03,1900-01-01 18:37:22,1900-01-01 13:19:42,482.0,1117.0,799.0
2023-02-15,1900-01-01 08:00:46,1900-01-01 18:38:36,1900-01-01 13:19:41,480.0,1118.0,799.0
2023-02-16,1900-01-01 07:59:27,1900-01-01 18:39:49,1900-01-01 13:19:38,479.0,1119.0,799.0
